Lp	Rok	Kwarta³	Y	X1	X2	X3	X4	X5	X6	X7	X8
1	2014	I	667	16,63	1 624	3 182	100,5	3 607,33	40,8	548	4 855
2	2014	II	624	15,17	1 331	3 232	100	3 373,31	42,2	615	5 016
3	2014	III	739	14,47	1 710	3 316	99,5	3 434,73	42,8	403	5 481
4	2014	IV	654	14,4	1 772	3 228	99,5	3 571,09	41,5	756	4 675
5	2015	I	818	15,07	2 251	3 292	99,4	3 732,71	42,4	646	4 814
6	2015	II	1 026	13,6	1 367	3 703	100,6	3 453,42	44	749	4 876
7	2015	III	864	12,87	1 932	3 421	99,6	3 568,04	43,6	503	5 350
8	2015	IV	939	12,93	2 090	3 700	99,7	3 671,54	43,2	748	4 526
9	2016	I	826	13,57	1 977	3 345	99	3 863,69	46,2	555	4 925
10	2016	II	813	12,13	1 477	3 266	100,5	3 617,17	47,3	727	4 812
11	2016	III	589	11,5	1 733	2 870	99,7	3 684,41	46,7	452	5 594
12	2016	IV	618	11,4	2 688	3 055	100,9	3 836,50	47,2	772	4 931
13	2017	I	1 024	11,57	1 717	3 474	101	4 018,90	46,9	648	5 475
14	2017	II	689	10,23	1 523	3 241	100,2	3 771,52	48	684	5 555
15	2017	III	795	9,77	2 549	3 220	99,7	3 858,61	48,7	433	5 811
16	2017	IV	871	9,57	2 342	3 382	101,5	4 028,88	48,6	702	5 086
17	2018	I	935	9,8	1 620	3 508	100,1	4 244,78	47,3	672	5 493
18	2018	II	1 135	8,93	1 552	3 779	100,5	4 006,32	47,5	639	5 312
19	2018	III	1 572	8,6	2 264	3 907	99,9	4 161,38	47,8	404	5 867
20	2018	IV	1 433	8,57	2 337	3 937	100,6	4 346,97	48,1	762	4 940
21	2019	I	1 594	8,9	1 958	4 218	100,2	4 544,47	47,7	656	5 141
22	2019	II	1 437	8,07	2 165	4 221	101,6	4 321,43	48,3	675	5 079
23	2019	III	1 649	7,77	2 517	4 306	100,3	4 462,73	49,2	489	5 682
24	2019	IV	2 236	7,73	2 573	4 579	100,4	4 618,04	49,2	748	4 776
25	2020	I	1 537	8,3	1 861	4 451	102,1	4 862,83	49,5	531	5 052
26	2020	II	1 066	8,87	1 829	4 484	100,1	4 468,89	49,1	238	4 934
27	2020	III	1 935	8,97	2 743	4 871	100,1	4 711,12	49,8	559	5 354
28	2020	IV	1 694	8,97	3 610	4 882	100,2	5 033,11	48,7	696	4 292
29	2021	I	1 931	9,4	2 516	5 235	101,8	5 310,65	49,5	603	4 575
30	2021	II	1 737	8,77	1 957	5 416	101,9	5 040,07	49,3	706	4 554
31	2021	III	1 788	8,43	2 510	5 258	101,1	5 126,34	50,9	477	4 751
32	2021	IV	2 139	8,7	2 921	5 174	102,6	5 486,07	51,5	758	4 111
33	2022	I	1 787	9,97	2 451	5 357	103,6	5 718,77	50,5	622	4 239
34	2022	II	1 464	9,13	2 718	5 285	104,9	5 463,46	50	649	4 339
35	2022	III	1 873	8,77	3 109	5 806	103,1	5 747,92	50,1	455	4 543
36	2022	IV	1 768	8,73	2 937	5 802	103,9	6 109,00	50,3	691	3 754
37	2023	I	1 648	9,1	2 269	5 961	104,8	6 447,47	51,4	627	3 973
38	2023	II	1 321	8,6	2 441	5 766	101,8	6 177,23	52,4	592	3 690
39	2023	III	1 471	8,37	1 980	6 441	99,6	6 480,61	51,9	406	3 921
40	2023	IV	1 895	8,47	1 940	6 659	100,7	6 835,93	49,7	638	3 349
